性別,年齡,悲傷- 患者反應1,悲傷- 患者反應2,悲傷- 患者反應3,悲傷- 這是由特別事件引起的嗎？,悲傷- 這是由最近或遙遠的事件（或多個事件）引起的嗎？,悲傷- 您最近是否嘗試過協議6，並發現由於舊事件而重新點燃了無法控制的情緒？,悲傷- 您最近是否嘗試過協議11，並發現由於舊事件而重新點燃了無法控制的情緒？,悲傷- 謝謝。現在我會問一些問題以了解您的情況。,悲傷- 您是否對某人有強烈的感受或表達以下任何情緒：,悲傷- 您認為您應該成為別人的救星嗎？,悲傷- 您是否將自己視為受害者，將自己的負面情緒歸咎於他人？,悲傷- 您覺得您在試圖控制某人嗎？,悲傷- 當出現問題時，您是否總是責怪和指責自己？,悲傷- 在之前的對話中，您是否考慮過其他提出的觀點？,悲傷- 您是否正在經歷個人危機（與親人相處有困難，例如與朋友鬧翻）？,憤怒- 患者反應1,憤怒- 患者反應2,憤怒- 患者反應3,憤怒- 這是由特別事件引起的嗎？,憤怒- 這是由最近或遙遠的事件（或多個事件）引起的嗎？,憤怒- 您最近是否嘗試過協議6，並發現由於舊事件而重新點燃了無法控制的情緒？,憤怒- 您最近是否嘗試過協議11，並發現由於舊事件而重新點燃了無法控制的情緒？,憤怒- 謝謝。現在我會問一些問題以了解您的情況。,憤怒- 您是否對某人有強烈的感受或表達以下任何情緒：,憤怒- 您認為您應該成為別人的救星嗎？,憤怒- 您是否將自己視為受害者，將自己的負面情緒歸咎於他人？,憤怒- 您覺得您在試圖控制某人嗎？,憤怒- 當出現問題時，您是否總是責怪和指責自己？,憤怒- 在之前的對話中，您是否考慮過其他提出的觀點？,憤怒- 您是否正在經歷個人危機（與親人相處有困難，例如與朋友鬧翻）？,焦慮- 患者反應1,焦慮- 患者反應2,焦慮- 患者反應3,焦慮- 這是由特別事件引起的嗎？,焦慮- 這是由最近或遙遠的事件（或多個事件）引起的嗎？,焦慮- 您最近是否嘗試過協議6，並發現由於舊事件而重新點燃了無法控制的情緒？,焦慮- 您最近是否嘗試過協議11，並發現由於舊事件而重新點燃了無法控制的情緒？,焦慮- 謝謝。現在我會問一些問題以了解您的情況。,焦慮- 您是否對某人有強烈的感受或表達以下任何情緒：,焦慮- 您認為您應該成為別人的救星嗎？,焦慮- 您是否將自己視為受害者，將自己的負面情緒歸咎於他人？,焦慮- 您覺得您在試圖控制某人嗎？,焦慮- 當出現問題時，您是否總是責怪和指責自己？,焦慮- 在之前的對話中，您是否考慮過其他提出的觀點？,焦慮- 您是否正在經歷個人危機（與親人相處有困難，例如與朋友鬧翻）？,快樂- 患者反應1,快樂- 患者反應2,快樂- 患者反應3,快樂- 那很好！讓我推荐一個您可以嘗試的協議。,所有情緒- 根據您所說的，我相信您正在感受{}。這個對嗎？,所有情緒- 我很抱歉。請從下面的情緒中選擇最能反映您感受的情緒：,所有情緒- 感謝您的參與。再見,所有情緒- 這是我的建議，請選擇您想嘗試的協議,所有情緒- 請現在嘗試通過此協議。完成後，按“繼續”,所有情緒- 採取此協議後，您感覺更好還是更糟？,所有情緒- 您想嘗試另一種協議嗎？ （病人感覺好多了）,所有情緒- 您想嘗試另一種協議嗎？ （病人感覺更糟）
女性,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我不知道，你為什麼要問我？誰讓你問我的？,嗯，不太好，嗯，我真的很擔心發生了什麼，我整個星期都沒睡覺。,我今天過得不好，你能幫幫我嗎？請幫幫我，你會幫我嗎？,我聽到了你的感受。為了支持你，你能告訴我是否有一個特定的事件引起了你的感受？,好的謝謝。你能告訴我這是最近發生的事情，還是前一段時間？,您最近是否通過協議6 重新審視了該事件的創傷，這就是您現在感到焦慮的原因嗎？,您最近是否通過協議11 重新審視了該事件的創傷，這就是您現在感到焦慮的原因嗎？,謝謝你，到目前為止你真的很勇敢地分享。我想看看我是否可以通過問你幾個問題來了解你的感受和這些感受的原因來支持你，你可以嗎？,為了幫助您，請您指出您是否對他人有以下任何情緒：,,,,,,,傑出的！我度過了最美好的一天！ ！,一切都很好，謝謝，沒有啥可抱怨！,是的，很好，謝謝。,,,,,因此，根據我們所討論的內容，我有以下建議供您選擇。請選擇您現在要嘗試的協議。,謝謝你。現在我希望您通讀並遵循協議，完成後按“繼續”。,謝謝你，歡迎回來。現在你已經完成了，你感覺如何？,這是非常積極的。你想試試另一個嗎？,好的，我知道你的感受了。我可以提出不同的建議供您嘗試嗎？
男性,60-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我感到非常焦慮，而且一點也不舒服。,我的心情真的很低落，實際上很害怕。,我今天的心理健康一點都不好,我了解您可能感到焦慮，如果您能提供更多詳細信息，我願意幫助您。認為這可能與任何特定事件有關嗎？,謝謝，這可能有助於我知道發生這種情況的時間。你能告訴我，這是最近發生的還是遙遠的事件？,有時它可以幫助通過協議6 解決與過去的創傷事件相關的焦慮。你是否已經嘗試過協議6，如果是的話，你是否真的發現它帶來的情緒過於強烈？,有時它可以幫助通過協議11 解決與過去的創傷事件相關的焦慮。你是否已經嘗試過協議11，如果是的話，你是否真的發現它帶來的情緒過於強烈？,我知道這對您來說可能很難討論，但您的信息非常有用，謝謝。如果我繼續問你一些問題，以便我更清楚地了解你的情況，可以嗎？,我會給你一個情緒清單。我希望你考慮一下，然後告訴我你是否對其中的任何一個有強烈的感受或對某個人表達過其中的任何一個：,,,,,,,其實我感覺真的很棒。,我覺得有很多正能量。,我感覺在世界之巔,,,,,在我們的討論之後，我列出了我想向您推薦的協議。您是否樂意查看它們並選擇您可能會考慮嘗試的協議？,感謝您選擇此協議。您現在願意嘗試此協議嗎？完成後，請您按“繼續”按鈕。,非常感謝您接受本協議。完成後，您最初的感受是什麼，您感覺好些了還是更糟了？,我真的很高興這個協議讓你感覺好多了。你認為如果你嘗試另一種協議會有幫助嗎？如果是這樣，您現在想嘗試另一個嗎？,很抱歉，這並沒有讓您感覺好些，有時可能需要嘗試不同的協議才能感覺好些。你想嘗試另一種希望對你更有幫助的嗎？
男性,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我很抱歉聽到這個。是否有特定的事件讓您有這種感覺？,感謝您分享這個。在不詳細介紹的情況下，這個事件是最近發生的還是已經有一段時間了？,你最近是否通過協議6 重新審視了這個事件，並發現它帶回了焦慮的感覺和情緒？,你最近是否通過協議11 重新審視了這個事件，並發現它帶回了焦慮的感覺和情緒？,感謝您分享這些細節，我知道這對您來說一定很困難。現在我想問一些問題，以便更好地了解您的情況。,我理解你感到焦慮。除了這種感覺，您最近是否也對某人有以下任何一種情緒：,,,,,,,好極了！,非常感謝您的提問！,我感覺非常好，充滿希望。,,,,,我有一些您可以嘗試的推薦協議。你現在有什麼想嘗試的嗎？如果是，請選擇它。,謝謝，現在您可以嘗試通過您選擇的協議。當您完成後，如果您能回到我身邊並按“繼續”，我將不勝感激。,執行此協議後，您現在感覺如何，您感覺更好還是更糟？,這真是個好消息。如果您願意，我們可以嘗試另一種協議。,我很抱歉聽到這個。如果您想嘗試另一個協議，我們可以嘗試其他協議？
女性,25-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我今天感覺很緊張。我有一個大測試，我擔心我不會通過。,我應該和朋友出去，但我覺得太緊張了。我不喜歡和一大群人在一起,今天，我的心彷彿在狂奔。我感覺不太好，我想我只需要一個人待著。,感受到您的感受是完全正常的，我理解並願意提供幫助。您認為這是由什麼特定原因引起的嗎？,我很抱歉這件事發生在你身上。這是最近發生的還是不久前發生的？,感到焦慮和完全可以理解是可以的。我只需要知道您最近是否試圖回憶過去的事件並發現它令人痛苦？,感到焦慮和完全可以理解是可以的。我只需要知道您最近是否試圖回憶過去的事件並發現它令人痛苦？,你做得很好，我想幫助你感覺更好，並試著了解你的情況。可以多問一些問題嗎？,我完全理解你的感受，這一定很難。如果我可以問，你是否覺得你已經向某人表達了以下任何情緒：,,,,,,,我很好！這是美好的一天！,我真高興。我現在擁有我想要的一切。,我心情這麼好。我覺得今天很幸運,,,,,我認為您可以從這些協議中的任何一個中受益，讓您感覺自己是最好的自己。請告訴我您想嘗試哪一種。,我認為這對你有好處，我是來幫忙的。請嘗試現在完成此操作，完成後，按“繼續”。,你在這方面做得很好。接受這個協議後你感覺如何？,我很高興你感覺好多了，我覺得這很棒！您想嘗試其他協議嗎？,我很抱歉你感覺更糟。也許我們應該坐下來嘗試另一種可能對您更有益的協議？
女性,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我今天感覺很緊張。,我今天感覺不輕鬆，很緊張。,我今天感覺很緊張，對我的皮膚不舒服。,你目前的焦慮是否是由你所知道的特別的事情引起的？,我知道了。你能告訴我這種焦慮的原因是前一段時間發生的還是最近發生的？,您最近是否採取了協議6，並覺得這引發了焦慮感？,您最近是否採取了協議11，並覺得這引發了焦慮感？,我非常感謝您對我迄今為止的問題的回答。我將通過一些查詢運行我必須充分了解您的情況。,最近你的焦慮是否導致你對其他人有以下不受歡迎的情緒：,,,,,,,我今天感覺輕鬆自在,我今天感到控制和平靜,我今天感到滿足和高興,,,,,我現在給你一些建議。我很樂意讓您決定要使用哪種協議。,當您準備好時，我希望您閱讀並嘗試該協議。一旦您對此感到滿意，請隨時選擇“繼續”。,遵循協議後，您現在感覺如何，您的情緒是否有所改善，或者您是否感到不自在？,非常好。正如您暗示的那樣，您感覺心情更好，您想繼續執行另一個協議嗎？,這不好，但我們仍然可以修復它。正如您所暗示的那樣，您在使用該方案後感覺並沒有好轉，您想嘗試不同的方案，看看效果如何嗎？
男性,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我好多了。我正在等待我的測試結果，我對結果感到緊張。,我感覺不太好。我媽媽昨天進了醫院，我在等一個電話告訴我發生了什麼。,我對這裡的政治局勢感到壓力和焦慮。,我很抱歉聽到這個。有什麼特別讓你有這種感覺的嗎？,你介意告訴我這件事是什麼時候發生的，是最近發生的還是遙遠的？,有時人們在嘗試協議6 時可能會受到不利影響。您最近是否嘗試過使用協議6 並發現這種體驗令人痛苦？,有時人們在嘗試協議11 時會受到不利影響。您最近是否嘗試過使用協議6 並發現這種體驗令人痛苦？,謝謝你。我知道這並不總是那麼容易，但你能告訴我的任何事情都會幫助我更好地了解你的情況。你介意我再問你幾個問題嗎？,我們都會感受到情緒，有時會向他人表達情緒，有時這些情緒會非常強烈。您是否認為您對某人有過強烈的感受或表達過以下任何情緒：,,,,,,,再好不過了！昨晚我的彩票號碼出來了，我要辭職了。,我就放心了我的測試結果昨天回來了，我很清楚。,我很好謝謝。,,,,,我有一些我們可以嘗試的建議，但我認為我們最好嘗試您認為最合適的建議。請告訴我您希望我們嘗試哪種協議。,現在嘗試通過此協議可能對您有所幫助，如果可以請嘗試一下。完成後，您只需按“繼續”即可。,我希望協議有所幫助。你感覺好些了還是更糟了？,我很高興它有所幫助。你認為你可能喜歡做另一個協議嗎？,我很遺憾聽到。您想嘗試不同的協議嗎？
女性,50-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,今天下午去看牙醫，我感到很緊張！,我很焦慮，我的考試成績明天就出來了，我可能沒有達到我所希望的。,我感覺很糟糕，我最好的朋友收到了一些令人擔憂的健康消息！,我看得出你很著急。有沒有發生過讓你有這種感覺的事情？,這是最近發生的還是前一段時間發生的？,您最近是否嘗試過協議6 並發現您發現的情緒難以處理？,您最近是否嘗試過協議11 並發現您發現的情緒難以處理？,謝謝你與我分享這一切。如果您不介意，我現在要問您幾個問題，以便我進一步了解您的情況。,你能告訴我你是否曾經對其他人感受到或表現出強烈的這些情緒：,,,,,,,我感覺很棒！,我感覺自己站在世界之巔！,我感覺超級棒！,,,,,這是我推薦的。請隨意選擇您想嘗試的協議。,太好了，你為什麼不現在就來看看這個協議。完成後，請按“繼續”。,完成方案後，你能告訴我你感覺好些還是壞了？,太好了，我很高興它有所幫助。您想嘗試其他協議嗎？,很抱歉這沒有幫助。您想嘗試其他協議嗎？
男性,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我對開始我的新工作感到緊張。我不確定我是否適合,我擔心我的績效評估，以及我是否做得足夠來獲得晉升。,我害怕在會議上出醜，我討厭公開演講。,我明白焦慮的感覺是可怕的。有什麼特別讓你有這種感覺的嗎？,這些感覺是由最近的事件引起的，還是由於更遙遠的事件而引起的？,我知道你過去發生的事情會帶來強烈的情緒。是否因為嘗試執行協議6 而重新點燃了這些感覺？,我知道你過去發生的事情會帶來強烈的情緒。是否因為嘗試執行第11 號協議而重新點燃了這些感覺？,謝謝你和我分享你的感受。為了了解您的情況，我現在想徵得您的同意，問您一些問題。,您是否覺得這些焦慮感可能是由對某人的任何其他情緒引起的，例如：,,,,,,,我感覺很棒，工作很棒！,很好，新房子看起來棒極了！,我很好，大部分情況下一切都很好。,,,,,我對協議有一些建議，可以幫助您解決問題。你想選擇你認為最適合你的嗎？,我了解此協議可能具有挑戰性，但請您嘗試完成它。如果您設法完成它，請按“繼續”，然後我會問您幾個後續問題。,謝謝，我知道這可能要求很高。該協議是否讓您感覺比以前更好或更糟？,這太妙了！嘗試另一種協議你會覺得舒服嗎？,我很抱歉聽到這個消息。你願意嘗試另一種協議嗎？
男性,25-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我今天真的很緊張，我似乎無法擺脫這種恐懼感,我感覺不太好。我感到壓力很大，我很擔心，因為我不知道為什麼會有這種感覺。,我今天的心情真的很低落，我很害怕它不會好轉。,我知道你現在感覺不是最好的。你認為你的感受與任何特定事件有關嗎？,我知道談論這些事情可能很難，所以謝謝你對我敞開心扉。你想告訴我更多關於這件事是什麼時候發生的，是最近發生的事情還是過去發生的事情？,在某些情況下，協議6 可用於回顧特別創傷性事件，但這有時會引發麻煩的情緒反應。你之前有沒有使用過協議6，它有沒有讓你有任何無法控制的情緒？,在某些情況下，協議11 可用於回顧特別創傷性事件，但這有時會引發麻煩的情緒反應。您之前是否使用過協議11，它是否導致您有任何無法控制的情緒？,謝謝分享，我知道有時會很困難。我們可以多談談您目前的個人情況嗎？,當我們感覺不到自己時，有時我們可以將其發洩在我們周圍的人身上。您是否對生活中的任何人強烈感受到或表達了以下任何情緒：,,,,,,,我感覺很棒沒什麼好抱怨的,我感覺棒極了,我從未如此快樂,,,,,現在我們已經掌握了所有相關信息，我想向您推荐一些我認為會產生積極影響的協議。您可以選擇最能引起您共鳴的協議。,太好了，現在我希望您嘗試完成此協議。慢慢來，當你走到最後只需按“繼續”。,現在你已經完成了，讓我們談談你現在的感受。你覺得更積極還是更不積極？,太好了，這是朝著正確方向邁出的一步。我認為嘗試另一種協議是個好主意，你怎麼看？,如果您感覺更糟，請不要擔心，這可能會發生，但我們仍然可以解決它。我們要不要嘗試不同的協議，然後看看你感覺如何？
女性,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,今天不太好，著急,我很擔心,你問來幹什麼,我聽說你很焦慮。有沒有發生過的事情可能讓你有這種感覺？,我很遺憾聽到這個消息，希望你不介意在它發生時與我分享。是最近的還是遙遠的？,我想知道現在是否有什麼東西重新點燃了這種感覺。您是否嘗試過記住或重溫此事件並因此感到焦慮？,我想知道現在是否有什麼東西重新點燃了這種感覺。您是否嘗試過記住或重溫此事件並因此感到焦慮？,感謝你的分享。我想問你一些問題，以便我能多了解一點。,您能否與我分享您是否強烈感受到以下任何一種情緒：,,,,,,,我感覺很好謝謝！,超棒！,真的很好謝謝,,,,,我有一些建議可能對你有用。你能告訴我你想嘗試哪種協議嗎？,太好了，你現在可以試一試嗎？您只需要記住在完成後按“繼續”。,我想問你這是怎麼回事。它讓你感覺好些了嗎，還是產生了相反的效果？,您想看看其他人是否也有同樣的幫助嗎？,您想嘗試一些可能更合適的不同的東西嗎？
女性,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我今天很焦慮。,我感覺不太好，我擔心面試。,我害怕有什麼不好的事情會發生在我身上。,我很抱歉你有這種感覺。我知道這可能很難談論，但是否有特定事件導致了這種情況？,它是最近發生的，還是過去的事件仍然影響著你？,通過嘗試協議6 來重溫創傷性事件會帶來消極和無法控制的情緒。您是否嘗試通過執行協議6 重新審視該事件並因此感到不舒服？,通過嘗試協議11 來重溫創傷性事件會帶來消極和無法控制的情緒。您是否嘗試通過執行協議11 重新審視該事件並因此感到不舒服？,謝謝你和我分享，你做得很好。你介意我再問你一些問題，以便我能更好地了解你的情況嗎？,對他人有強烈的情緒是很正常的，我不是來評判你的。您是否對他人感受到或表達了以下任何情緒：,,,,,,,我感覺很好，謝謝！,我今天過得很愉快，這裡沒有抱怨。,我做得很好，我的心情很好。,,,,,我想推荐一些我認為非常適合您的情況的協議。請選擇您要嘗試的協議。,當你準備好時，請開始這個協議。完成後，按“繼續”。,完成此協議後，您感覺如何，好還是壞？,我很高興協議能夠提供幫助。你想嘗試另一個嗎？,很抱歉，該協議無法幫助您。你想嘗試另一個嗎？
女性,50-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我今天應付得不太好,我為自己的安全感到害怕,我很擔心我們的未來,有沒有什麼特別的事情你能回憶起來，可能會讓你有這種感覺？,這是很久以前的事件嗎？或者也許是最近發生在你身上的事情？,你是否嘗試過協議6 來回想這個事件，如果你有，記住這個事件是否會讓人精神崩潰？,你有沒有嘗試過協議11 來回想這個事件，如果你有，記住這個事件是否會讓人精神崩潰？,你的回答對我的理解很有幫助。我非常想了解更多，所以我還有幾個問題，如果你覺得可以嗎？,您是否對您認識的其他人強烈感受到或表達了以下任何情緒：,,,,,,,非常好,今天是個好日子,我很好,,,,,您可以選擇多種選擇，因此我有不止一個建議。也許您可以選擇一種您現在喜歡使用的協議。,既然您已經做出選擇，請遵循協議，我希望您會喜歡它。完成後，您將需要按“繼續”按鈕。,謝謝你。如果您能指出這項活動是否讓您感覺比開始前更好或更糟，那將非常有幫助。,這真的很好，做得很好。如果您願意，您可以選擇另一個協議進行工作。,很抱歉聽到它，通過它做得很好。如果您想嘗試其他協議，看看這是否更適合您，還有其他選擇。
男性,25-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我感到不確定和恐懼。,我對今天不是很自信，有一種不好的感覺。,由於出現症狀，我必須進行新冠檢測，而且我擔心自己可能會呈陽性。,哦不，很遺憾聽到它。是不是發生了什麼事情觸發了這些感覺？,造成這種焦慮的原因，可能是這幾天發生的事情，還是感覺更遙遠了？,如果我可以問一下，最近對協議6 的嘗試是否觸發了這些感覺？,無論如何，如果我可以問一下，最近對協議11 的嘗試是否會觸發這些感覺？,我很高興你能夠對我敞開心扉。我希望我們能進一步深入研究這個問題。,除了你提到的這些感受之外，你最近的經歷也涉及到這些感受：,,,,,,,我感到活著和幸福。,我很積極也很感激。,我有一種同性戀的感覺，我對我所擁有的一切感到欣喜若狂。,,,,,我有幾個選項給你。請告訴我您認為哪種協議最適合您。,那太棒了。你能不能現在就遵循這個協議，完成後點擊“繼續”。,能否請您表達一下您在完成此協議後的感受？,太好了，我真的很高興！您是否也願意嘗試另一種協議？,您願意嘗試另一種可能效果更好的協議嗎？
女性,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我感覺有點搖搖欲墜。,事情讓我很沮喪。,我還好，就是有點著急。,那可能很粗糙。你認為它可能與發生的事情有關嗎？,啊，我明白了。這是最近發生的事情還是前一陣子發生的事情？,有時不好的感覺可能會回來，因為發生了一些事情讓它們再次出現。您最近是否嘗試過協議6，並且無法將自己與過去所產生的負面情緒疏遠？,有時不好的感覺可能會回來，因為發生了一些事情讓它們再次出現。您最近是否嘗試過協議11，並且無法將自己與過去所產生的負面情緒疏遠？,我很高興你與我分享了這一點，它真的幫助我更好地理解。我現在想問一些更多的問題來繼續那段旅程。,感到焦慮也可能與其他情緒混合在一起，我想看看您是否認出此列表中的任何一種情緒，或者您是否對它們感到熟悉。您之前是否強烈體驗過以下任何一種情緒：,,,,,,,非常好。,一切都感覺很順利，很開心，謝謝！,我很好謝謝！,,,,,所以我有一些協議建議我認為對你很有效；這裡有一些建議，所以看看吧。您認為哪種協議適合您？,謝謝你。現在就開始研究這個協議，我們會看看它是否有幫助。完成後按“繼續”，我們將再談一些。,謝謝你這樣做。它是否有所作為，如果是這樣，您現在感覺好些了，還是更糟了？,這是一個好的開始。你想繼續我建議的另一個協議嗎？,很抱歉它現在不合適，我們可能需要嘗試一些想法才能找到我們的方法。你現在準備好嘗試另一個了嗎？
女性,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我感覺不太好，我最近工作太辛苦，幾乎沒有時間照顧自己。,我今天感到很焦慮。我的待辦事項清單似乎越來越長，我工作的時間越來越長。,我感到害怕。我身體不太好，我害怕感染新冠。,得知您感到焦慮，我深表遺憾。是不是發生了什麼事情引發了這些焦慮情緒？,你能告訴我是什麼事件觸發了這些感覺，是最近的還是遙遠的過去？,謝謝你和我分享這個。請問，你最近有沒有討論過這個過去的事件或試圖重溫它，這可能讓你感到一些不適或帶來一些負面情緒嗎？,謝謝你和我分享這個。請問，你最近有沒有討論過這個過去的事件或試圖重溫它，這可能讓你感到一些不適或帶來一些負面情緒嗎？,我真的很感謝你和我分享你的感受。如果您覺得可以繼續，我想問您一些問題以進一步了解您的情況。,您過去是否曾對自己或他人表達或感受到以下任何負面情緒：,,,,,,,我感覺很棒我剛從一個小假期回來。,一切都很好。我在山上散步度過了愉快的一天。,我感覺很好。我現在正在讀一本好書。,,,,,我認為以下協議對您有益。您可以選擇您認為此時最適合您的那個。,請立即嘗試該協議。如果您願意繼續我們的談話，請按“繼續”。,,太棒了！你想嘗試另一種協議嗎？,我很遺憾聽到你感覺更糟。也許你想嘗試另一種協議？
男性,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,不是很好，老實說感覺有點緊張,只是擔心接下來的幾天,我現在腦子裡有很多事情，這讓我很焦慮,那真不幸。有沒有什麼特別的事情讓你有這種感覺？,這件事是最近發生的還是過去發生的？,你是否已經嘗試過重新審視這個事件卻發現這樣做會帶來強烈的負面情緒？,你是否已經嘗試過重新審視這個事件卻發現這樣做會帶來強烈的負面情緒？,感謝您與我分享這一點，我知道這樣的事情很難公開。我想提供幫助，為此，我需要詢問一些有關您的情況的問題。,謝謝你和我在一起。過去，您是否對某人有過以下任何一種情緒或行為：,,,,,,,還不錯，事情進展順利,我很好,我現在感到很幸福,,,,,根據你告訴我的，這裡有一些我們可以嘗試的協議。請選擇您現在想經歷的任何事情。,好的，讓我們試試這個。完成後，請按“繼續”。,完成協議後，您現在感覺如何，好還是壞？,太好了，很高興聽到這個消息！您想嘗試其他協議嗎？,我很抱歉聽到這個。您想嘗試不同的協議，看看它是否更有效？
女性,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我今天感覺不是特別好的。我很焦慮，不知道為什麼。,我真的很害怕，因為我一會要去看牙醫。,我今天感覺很差。我很害怕失去工作。,有什麼特別的事情讓你有這種感覺嗎？,這是最近發生的事情還是過去發生的事情？,我明白你為什麼會感到焦慮。你認為嘗試協議6 會重新點燃這些難以控制的情緒嗎？,我明白你為什麼會感到焦慮。你認為嘗試協議11 會重新點燃這些難以控制的情緒嗎？,我真的很想幫忙。如果你不介意，我想再問一些問題。,您還記得最近您是否對某人有過強烈的感受或表達過以下任何一種情緒：,,,,,,,我感覺很棒謝謝你。,生活是美好的！,我對我的新夥伴感到非常高興和滿足。,,,,,以下是您今天可以嘗試的一些協議建議。我希望您選擇您想嘗試的協議。,請仔細閱讀協議，慢慢來。完成後，按“繼續”。,如果我可以問一下，您現在完成了協議，感覺如何？我希望你感覺好些，但如果你感覺更糟也沒關係，告訴我，我會盡力提供幫助。,很高興聽到。您想在感覺好些時嘗試另一種協議嗎？,這並不理想，但請不要放棄，有些協議有時會激起一些負面情緒，這是正常的。您想此時嘗試另一種協議嗎？
女性,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我的焦慮感都無法衡量了。,我今天真的很累。,我的忍耐被用盡了。,如果你覺得分享很舒服，你能告訴我這種感覺是否來自發生的特定事情嗎？,這是最近發生的事情，還是過去的事情仍然在您的腦海中？,你最近有沒有嘗試過協議6 並發現它把所有那些不好的感覺都帶回來了？,您最近是否嘗試過協議11 並發現它讓所有那些不好的感覺回來了？,謝謝分享，我知道這對你來說不容易。如果可以，我想多談談你的情況，以便我了解你來自哪裡。,我希望你對你的處境有很多強烈的感受。您是否感受到以下任何一種情緒，無論是在內心還是向另一個人表達：,,,,,,,很放鬆,我很好謝謝。,我心情太好了。,,,,,我有一些建議給你。請查看並選擇您想嘗試的任何協議。,好的，您現在可以繼續嘗試。完成後，您可以按“繼續”。,該協議是否改變了您的感受，無論是好是壞？,那太棒了！你現在想試試另一個嗎？,你想用不同的方式再試一次嗎？
男性,60-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我今天感到壓力很大，因為我有一個截止日期要滿足。,我擔心我們國家的疫情的發展方向以及政府最近做出的決定，並擔心我會感染該病毒。,我很擔心我年邁的父親的健康。,我希望你能應付。你介意我問你是否有特定的事件或問題引起了你的焦慮？,這個事件是最近發生的還是你已經想了一段時間了？,我意識到克服過去的消極想法可能很困難。最近嘗試協議6 是否讓您回憶起這個事件，從而使您記憶猶新，並讓您感到焦慮？,我意識到克服過去的消極想法可能很困難。最近嘗試了協議11 是否讓您想起了這件事，從而使您記憶猶新，並讓您感到焦慮？,我非常樂意傾聽您的擔憂並與我分享您的感受。你願意多說幾句，以便我給你提供一些有用的建議嗎？,有時，焦慮可能會導致對他人缺乏信任、對他人感到憤怒或想要報復。您是否覺得您的焦慮可能導致您感受到以下任何其他情緒：,,,,,,,我今天對我的股票市場投資組合表現特別滿意。,今天天氣很好，我們在公園裡悠閒地散步。,我的足球隊今天贏了，這總是讓我心情愉快。,,,,,我肯定會推薦各種協議。請選擇您認為最適合您的那一項。,,你現在感覺怎麼樣？我希望它對你有用。,真是太好聽了。您想繼續並選擇另一個協議嗎？,很抱歉它沒有為您解決，但是我可以推薦其他選擇。你想嘗試另一個嗎？
男性,25-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我今天感到非常緊張和焦慮,老實說不太好，我剛剛驚恐發作,其實很害怕，我可能需要一些幫助,哦，那不好。這與發生的任何特定事件有關嗎？,好的，我明白了，請告訴我更多關於它的信息。這是什麼時候發生的，最近還是前一段時間？,協議6 可能會有很大幫助，但我知道它有時也會引起不必要的壓力。您最近是否嘗試過協議6，並在使用後發現自己太苦惱了？,協議11 可能有很大幫助，但我知道它有時也會引起不必要的壓力。您最近是否嘗試過第11 條協議，並在使用後發現自己太苦惱了嗎？,感謝您與我分享這一切。你介意我們繼續前進並一起解決這個問題嗎？,您最近是否對任何人有過以下強烈的感覺或情緒：,,,,,,,我過的不錯你近來怎樣？,感覺真棒,感覺從來沒有這麼好的,,,,,我想過什麼最適合你。如果您查看選項並告訴我您想嘗試哪種協議，那就太好了。,盡最大努力執行此協議，慢慢來。完成後，按“繼續”。,謝謝。接受此協議後，您感覺如何？我希望你現在感覺好多了，但如果你覺得自己感覺更糟，那也沒關係。,那太棒了！您想採用另一種協議嗎？,有這種感覺是完全正常的，你不是一個人。您想嘗試不同的協議，看看它是否能讓您感覺好些嗎？
